,precision,recall,f1-score,support
0,0.9640358818204263,0.8365350282082411,0.8957712013458744,14003.0
1,0.2844638949671772,0.6755753526354863,0.40035195776506816,1347.0
accuracy,0.8224104234527687,0.8224104234527687,0.8224104234527687,0.8224104234527687
macro avg,0.6242498883938018,0.7560551904218638,0.6480615795554713,15350.0
weighted avg,0.9044017797819035,0.8224104234527687,0.8522969524140603,15350.0
