,precision,recall,f1-score,support
0,0.9126637554585153,1.0,0.954337899543379,14003.0
1,1.0,0.005196733481811433,0.0103397341211226,1347.0
accuracy,0.9127035830618893,0.9127035830618893,0.9127035830618893,0.9127035830618893
macro avg,0.9563318777292577,0.5025983667409057,0.48233881683225077,15350.0
weighted avg,0.9203277242791915,0.9127035830618893,0.8714997543431328,15350.0
