,precision,recall,f1-score,support
0,0.9292580557812077,0.9802899378704564,0.954092093831451,14003.0
1,0.5224913494809689,0.22420193021529325,0.3137662337662338,1347.0
accuracy,0.9139413680781759,0.9139413680781759,0.9139413680781759,0.9139413680781759
macro avg,0.7258747026310883,0.6022459340428749,0.6339291637988425,15350.0
weighted avg,0.8935632835736232,0.9139413680781759,0.8979019352967378,15350.0
