,Confusion,Score
0,TN,13727.0
1,FP,276.0
2,FN,1045.0
3,TP,302.0
4,Precision,0.5224913494809689
5,Recall,0.22420193021529325
6,F1,0.3137662337662338
7,Accuracy,0.9139413680781759
