,Confusion,Score
0,TN,13917.0
1,FP,86.0
2,FN,1201.0
3,TP,146.0
4,Precision,0.6293103448275862
5,Recall,0.10838901262063845
6,F1,0.1849271690943635
7,Accuracy,0.916156351791531
