,precision,recall,f1-score,support
0,0.9949171003267578,0.8515641185001036,0.9176759502148798,9654.0
1,0.8725315780110301,0.9957364734544716,0.9300715877305267,9851.0
accuracy,0.9243783645219175,0.9243783645219175,0.9243783645219175,0.9243783645219175
macro avg,0.933724339168894,0.9236502959772876,0.9238737689727032,19505.0
weighted avg,0.9331062938498424,0.9243783645219175,0.9239363667832796,19505.0
