,Confusion,Score
0,TN,13879.0
1,FP,124.0
2,FN,1183.0
3,TP,164.0
4,Precision,0.5694444444444444
5,Recall,0.12175204157386786
6,F1,0.20061162079510705
7,Accuracy,0.9148534201954397
