,precision,recall,f1-score,support
0,0.8748850891708034,0.9858089910917754,0.9270407169296707,9654.0
1,0.9841196244349136,0.8618414374175211,0.918930620196991,9851.0
accuracy,0.9231991796975134,0.9231991796975134,0.9231991796975134,0.9231991796975134
macro avg,0.9295023568028585,0.9238252142546483,0.9229856685633309,19505.0
weighted avg,0.9300539898058584,0.9231991796975134,0.9229447126787796,19505.0
