,precision,recall,f1-score,support
0,0.8805999220880405,0.9366065879428216,0.9077401867282401,9654.0
1,0.9337447223124391,0.8755456298852908,0.9037091366303437,9851.0
accuracy,0.9057677518584978,0.9057677518584978,0.9057677518584978,0.9057677518584978
macro avg,0.9071723222002398,0.9060761089140562,0.9057246616792919,19505.0
weighted avg,0.9074407027602042,0.9057677518584978,0.9057043049279645,19505.0
