,Confusion,Score
0,TN,13841.0
1,FP,162.0
2,FN,1122.0
3,TP,225.0
4,Precision,0.5813953488372093
5,Recall,0.16703786191536749
6,F1,0.25951557093425603
7,Accuracy,0.9163517915309446
