,N Features,Score
0,5,0.9220170038111991
1,6,0.9220170038111991
2,7,0.9234828496042217
3,8,0.9205511580181764
4,9,0.9234828496042217
5,10,0.9201602658067038
6,11,0.9189875891722857
7,12,0.9170331281149223
8,13,0.9164467897977133
9,14,0.9155672823218998
10,15,0.9155672823218998
11,16,0.918010358643604
12,17,0.9179126355907359
13,18,0.9244600801329034
14,19,0.9247532492915078
15,20,0.924264634027167
